feature,feature_group,source,source_column,included,reason,non_null_count,coverage_rate,nunique,all_missing,constant,all_in_set,model_use,feature_label_ko,asof_rule
news_text_v2_market_stress_ratio_30d,nlp,features/nlp_final/nlp_final_features.parquet,news_text_v2_market_stress_ratio_30d,True,materialized_row_level_nlp_feature,881,0.4132270168855534,518,False,False,all_in_finbert_60d,,,
search_kau_intensity_level,nlp,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_level,True,materialized_row_level_nlp_feature,2124,0.9962476547842402,754,False,False,all_in_finbert_60d,,,
search_kau_intensity_shock,nlp,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_shock,True,materialized_row_level_nlp_feature,2124,0.9962476547842402,2114,False,False,all_in_finbert_60d,,,
search_kau_intensity_percentile_60d,nlp,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_percentile_60d,True,materialized_row_level_nlp_feature,2124,0.9962476547842402,120,False,False,all_in_finbert_60d,,,
search_kau_intensity_ratio_20d,nlp,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_ratio_20d,True,materialized_row_level_nlp_feature,2124,0.9962476547842402,2124,False,False,all_in_finbert_60d,,,
gov_policy_tightening_index,nlp,features/nlp_final/nlp_final_features.parquet,gov_policy_tightening_index,True,materialized_row_level_nlp_feature,2132,1.0,1545,False,False,all_in_finbert_60d,,,
gov_compliance_policy_attention,nlp,features/nlp_final/nlp_final_features.parquet,gov_compliance_policy_attention,True,materialized_row_level_nlp_feature,2132,1.0,2132,False,False,all_in_finbert_60d,,,
krx_msr_event_indicator,nlp,features/nlp_final/nlp_final_features.parquet,krx_msr_event_indicator,True,materialized_row_level_nlp_feature,2132,1.0,1,False,True,all_in_finbert_60d,,,
news_text_tightening_minus_easing_60d,nlp,features/nlp_final/nlp_final_features.parquet,news_text_tightening_minus_easing_60d,True,materialized_row_level_nlp_feature,2116,0.9924953095684804,67,False,False,all_in_finbert_60d,,,
news_text_tightening_minus_easing_30d,nlp,features/nlp_final/nlp_final_features.parquet,news_text_tightening_minus_easing_30d,True,materialized_row_level_nlp_feature,2116,0.9924953095684804,53,False,False,all_in_finbert_60d,,,
fuel_period,fuel,raw.commodities_monthly,period,True,db_time_indexed_asof_join,2132,1.0,4,False,False,all_in_finbert_60d,,,
fuel_lng_japan,fuel,raw.commodities_monthly,lng_japan,True,db_time_indexed_asof_join,2132,1.0,127,False,False,all_in_finbert_60d,,,
fuel_natgas_europe,fuel,raw.commodities_monthly,natgas_europe,True,db_time_indexed_asof_join,2132,1.0,127,False,False,all_in_finbert_60d,,,
fuel_coal_newcastle,fuel,raw.commodities_monthly,coal_newcastle,True,db_time_indexed_asof_join,2132,1.0,127,False,False,all_in_finbert_60d,,,
pwr_fuel_price_nuclear_krw_per_k,pwr,raw.epsis_fuel_cost_monthly,fuel_price_nuclear_krw_per_kwh,True,db_time_indexed_asof_join,2128,0.99812382739212,100,False,False,all_in_finbert_60d,,,
pwr_fuel_price_anthracite_krw_pe,pwr,raw.epsis_fuel_cost_monthly,fuel_price_anthracite_krw_per_ton,True,db_time_indexed_asof_join,2128,0.99812382739212,117,False,False,all_in_finbert_60d,,,
pwr_heat_price_nuclear_krw_per_g,pwr,raw.epsis_fuel_cost_monthly,heat_price_nuclear_krw_per_gcal,True,db_time_indexed_asof_join,2128,0.99812382739212,122,False,False,all_in_finbert_60d,,,
pwr_fuel_cost_nuclear_krw_per_kw,pwr,raw.epsis_fuel_cost_monthly,fuel_cost_nuclear_krw_per_kwh,True,db_time_indexed_asof_join,2128,0.99812382739212,100,False,False,all_in_finbert_60d,,,
pwr_installed_capacity_mw,pwr,raw.epsis_power_supply_daily,installed_capacity_mw,True,db_time_indexed_asof_join,2132,1.0,272,False,False,all_in_finbert_60d,,,
pwr_minimum_demand_mw,pwr,raw.epsis_power_supply_daily,minimum_demand_mw,True,db_time_indexed_asof_join,2132,1.0,27,False,False,all_in_finbert_60d,,,
pwr_trade_volume_ppa_total_gwh,pwr,raw.epsis_power_trade_volume_monthly,trade_volume_ppa_total_gwh,True,db_time_indexed_asof_join,2128,0.99812382739212,73,False,False,all_in_finbert_60d,,,
pwr_trade_volume_fuel_cell_gwh,pwr,raw.epsis_power_trade_volume_monthly,trade_volume_fuel_cell_gwh,True,db_time_indexed_asof_join,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_blmp_krw_per_kwh,pwr,raw.epsis_smp_monthly,blmp_krw_per_kwh,True,db_time_indexed_asof_join,2128,0.99812382739212,1,False,True,all_in_finbert_60d,,,
ext_clsprc,ext,raw.eua_daily,clsprc,True,db_time_indexed_asof_join,2132,1.0,1758,False,False,all_in_finbert_60d,,,
ext_opr,ext,raw.eua_daily,opr,True,db_time_indexed_asof_join,2132,1.0,1705,False,False,all_in_finbert_60d,,,
ext_hpr,ext,raw.eua_daily,hpr,True,db_time_indexed_asof_join,2132,1.0,1722,False,False,all_in_finbert_60d,,,
ext_lpr,ext,raw.eua_daily,lpr,True,db_time_indexed_asof_join,2132,1.0,1734,False,False,all_in_finbert_60d,,,
ext_acc_trdvol,ext,raw.eua_daily,acc_trdvol,True,db_time_indexed_asof_join,2132,1.0,1147,False,False,all_in_finbert_60d,,,
